TransactionID,Price,Date,PostCode,PropertyType,IsNew,Duration,PAON,SAON,Street,Locality,Town,District,County
"{2A289E9D-0F58-CDC8-E050-A8C063054829}",32000,1995-09-29 00:00:00.0000000,"SW12 8EQ","F","N","L","17","","HUNTER CLOSE","","LONDON","WANDSWORTH","GREATER LONDON"
"{11164B23-BFC3-4960-82A9-5131FD3643F7}",119000,1995-12-04 00:00:00.0000000,"SW12 0HB","T","N","F","62","","HAVERHILL ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{447BC849-223B-4A3C-9D9E-10DE6F40C541}",75000,1995-12-22 00:00:00.0000000,"SW12 9JS","T","N","F","11","","MANYGATES","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{6F08431F-1A13-4038-BFFF-09C863B409D8}",166000,1995-07-31 00:00:00.0000000,"SW12 8QH","T","N","F","4","","TEMPERLEY ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{2A289E9C-FF2D-CDC8-E050-A8C063054829}",34000,1995-08-16 00:00:00.0000000,"SW12 8PY","F","N","L","CAISTOR HOUSE","FLAT 13","CAISTOR ROAD","","LONDON","WANDSWORTH","GREATER LONDON"
"{2A289E9C-E1A2-CDC8-E050-A8C063054829}",50000,1995-01-05 00:00:00.0000000,"SW12 8SB","T","N","F","4","","RAVENSLEA ROAD","","LONDON","WANDSWORTH","GREATER LONDON"
"{A36C3EB3-FE26-4B1A-AA53-4DBE5540308A}",72250,1995-05-12 00:00:00.0000000,"SW12 8QB","T","N","F","19","","PICKETS STREET","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{DBBDE607-D03F-45D4-B111-5BFCBAB7AF51}",88000,1995-04-12 00:00:00.0000000,"SW12 9QW","T","N","F","2","","HARBERSON ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{B79BA492-194D-4428-8394-BC7A6C813EC2}",126500,1995-12-21 00:00:00.0000000,"SW12 8DZ","F","N","L","61","FLAT A","BALHAM PARK ROAD","LONDON","LONDON","WANDSWORTH","GREATER LONDON"
"{3BFE2F85-B3E0-4B0C-958C-09D646B4D794}",58000,1995-11-03 00:00:00.0000000,"SW12 0HP","F","N","L","64","","EMMANUEL ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
"{211DB23D-C97E-4ECC-BAE9-5C09E9267DB8}",66000,1995-05-26 00:00:00.0000000,"SW12 9NU","F","N","L","65","","HAZELBOURNE ROAD","LONDON","LONDON","LAMBETH","GREATER LONDON"
